,congOrgs,match
58314,BrandyWine Pvt Equity Partners (2011) LP,
58315,BNY Mellon Mid cap Stock,
58316,Avalonbay Cmntys Inc,
58317,BrandyTrust SPJ LLC,
58318,SSgA S&P 500 Index Securities Lnd Ser 1,
58319,SSgA Russell Small Cap Index Sec Lnd Ser,
58320,SSgA Intl Index Sec Lending Series C1,
58321,BrandyWine Pvt Equity Partners (2012) LP,
58322,BNY Mellon Small Cap Stock,
58323,Brandy Trust Global Com Trust Fund,
58324,BrandyWine Private Equity Partners 2008,
58325,SSGA US Treasury Money Market Fund,
58326,Eaton Vance Small Cap Fund I,
58327,First Republic Bank account,"('First Republic Bank', 100)"
58328,BrandyWine Private Equity Partners 2012,
58329,Brandy Trust Special Equities Partners,
58330,Vanguard Star Fund/Sole Asset,
58331,T Rowe Price Structured Research Fund,
58332,SSGA Intl Index Lending Series C1,
58333,SSGA Dynamic Small Cap Fund,
58334,Brandy Trust Multi Strategy Common Trust Fund,
58335,Occidental Pete Corp,
58336,Morsanto Co,"('Monsanto Co', 91)"
58337,Dinney Co,
58338,T Rowe Price Structured Research Comm Tr Fund,
58339,SSGA US Bond Index Sec Land Ser Fund,
58340,SSgA International Index Sec Lndg Fund,
58341,SSGA Institutional US Treas KM Inv Fund,
58342,SSCA Institutional US Treas MN Inv Fund,
58343,GSgA S&P 500 Index Securities Fund,
58344,211-18 34 Avenue,
58345,1000 New Jersey Avenue SE,
58346,Wealth Management LLC,
58347,TIAA-CREF Retirement Annuity - TIAA Real Estate,"('TIAA-CREF', 100)"
58348,NY 529 Vanguard Plan DC2 Aggressive Growth,
58349,NY 529 Vanguard Plan DC1 Aggressive Growth,
58350,TIAA CREF Small-Cap Blend Index Fund,
58351,ACM Development LLC,
58352,TIAA CREF Mid-Cap Value Fund - Institutional Class,
58353,CREF Stock R3 Fund,
58354,Prudential QMA International Equity Fund,
58355,NY Life Insurance Co/Whole Life,
58356,NY 529 Vanguard Plan DC2 MidCap Stock Index,
58357,NY 529 Vanguard Plan DC1 MidCap Stock Index,
58358,CREF Growth R3 Fund,
58359,Chinatrust Banks USA,
58360,BlackRock Energy & Resources Portfolio,
58361,US Savings Bond (DC2),
58362,US Savings Bond (DC1),
58363,Invesco Van Kampen Value Opportunities,
58364,211-18 34 Avenue Property,
58365,Vanguard Plan MidCap Stock Index Portfolio,
58366,TIAA-CREF Lifecycle 2040 Fund,"('TIAA-CREF', 100)"
58367,Target Growth Allocation B Fund,
58368,Prudential International Value Fund,
58369,John Hancock Life Insurance Limited Payment Whole,
58370,Prudential Jennison Health Sciences Fund,
58371,36-02 212 Street,
58372,41-40 Union Street Property,
58373,147-14 34th Avenue Realty,
58374,TIAA-CREF Group Supplemental Retirement,"('TIAA-CREF', 100)"
58375,"36-02 212 St/Bayside, NY",
58376,211-18 34th Ave/Bayside NY,
58377,"41-40 Union St, #14P/Flushing, NY",
58378,10% Wealth Management LLC,
58379,Commercial Rental Property at 132-15 35t,
58380,Total International Stock Index Fund,
58381,Total Bond Market Index Fund,
58382,John Hancock Life Insurance Limited Paym,
58383,147 34th Ave Realty LLC,
58384,Mid-Cap Stock Index Portfolio,
58385,Commercial Rental Property at 34-30 Coll,
58386,Commercial Rental Property at 147-14 34t,
58387,Vanguard MSCI Eame ETF,
58388,Vanguard Large Cap ETF,"('Vanguard Large-Cap ETF', 95)"
58389,TIAA CREF Lifecycle 2040 Fund,
58390,TD Bank IRA,
58391,Rockspace Vasting Inc,
58392,Prudential Indl Value Fund,
58393,New York Life Insurance whole life,"('New York Life Insurance Co', 92)"
58394,Morgan Stanley Mid Cap Growth Portfolio,"('Morgan Stanley', 100)"
58395,MetLife Stock Index Portfolio,
58396,Intel Cap,
58397,HSBC Checking account,
58398,Blackrock Large Cap Portfolio,
58399,Blackrock Energy & Resources Portfolio,
58400,Blackrock Diversified Portfolio,
58401,US Savings Bank,
58402,Invesco Van Kampen value opportunities f,
58403,"36-02 212 Street/Bayside, NY",
58404,"211-18 34 Avenue/Bayside, NY",
58405,"41-40 Union Street #14P/Flushing, NY",
58406,NY 529 Vanguard Plan Aggressive Growth,
58407,MetLife Flex Premium Mltifnd Life policy,
58408,TIAA-CREF Retirement Annuity TIAA Real E,"('TIAA-CREF', 100)"
58409,Avenue Realty LLC,
58410,NY 529 Vanguard Plan Mid Cap Stock,
58411,New York Life Insurance/Whole Life Ins,
58412,HSBC Checking Account,
58413,Prudential Roth IRA Prudential Jennison,
58414,Prudential Roth IRA Oppenheimer Global,
58415,Wild River Land Management Inc,
58416,Medical Park - Commercial Real Estate,
58417,FNB Bankshares,
58418,John Hancock II Lifestyle Balanced,
58419,Eaton Vance Senior Floating Rate Fund,"('Eaton Vance Senior Floating Rate Trust', 92)"
58420,Benishek For Congress Inc Loan,
58421,Vanguard Intermediate Term Corp Bond ETF,
58422,Putnam Convertible Securities,
58423,Legg Mason BW Global Income Opp Fund,"('Legg Mason BW Global Income Opportunities Fund Inc', 92)"
58424,John Hancock Floating Rate Income Fund,
58425,Guggenheim Short Duration High Yield,
58426,Frontier Fund Long Short Comm Series 1,
58427,CBRE Clarion Global Real Intl Asset,
58428,Blackrock Utility & Infrastructure Trust,
58429,Blackrock Resources & Comm Strategies TR,
58430,Wild River Land Mgmt First National Bank,
58431,Miners State Bank/Savings,
58432,MFB Northern Institutional Funds,
58433,Market Vectors Intl High Yield Bond ETF,
58434,Market Vectors Emerging Market Local ETF,
58435,Ishares Emerging Markets High Yield Bond,"('iShares Emerging Markets High Yield Bond ETF', 95)"
58436,Ishares Barclays MBS Bond ETF,
58437,First National Bank & Trust/Checking,
58438,Daniel Benishek MD PC First National Ban,
58439,Putnam Diversified Income,
58440,Medical Park Building,
58441,Ameriprise Dreyfus Cash Management,
58442,First Trust Sabrient Bakers,
58443,Benishek For Congress Inc,
58444,Ameriprise Fidelity Advisor New Insights,
58445,Putnam Conv Secs Fund,
58446,Neuberger Berman MLP Income Fund Inc (NML),
58447,Miners State Bank,
58448,John Hancock Floating Rate Income,
58449,Ameriprise Financial Money Market,
58450,Ameriprise Eaton Vance Senior Floating Rate Fund,
58451,Ameriprise BlackRock Resources,
58452,Ameriprise ABB Ltd,"('ABB Ltd', 100)"
58453,AM Century Equity Income,
58454,Wild River Land Management FNB Account,
58455,MFB Northern Institutional Funds Prime,
58456,Guggenheim Short Dur Hi Yld TR 10,
58457,FNB Checking Account,
58458,Ameriprise Xylem Inc,"('Xylem Inc', 100)"
58459,Ameriprise Exelis Inc,"('Exelis Inc', 100)"
58460,Ameriprise Bank of America,
58461,Vectrus Inc,"('Vectrus Inc', 100)"
58462,Rayonier Advanced Materials,"('Rayonier Advanced Materials Inc', 100)"
58463,Banking Daniel Benishek MD PC FNB Checking Account,
58464,Daniel J Benishek MD,
58465,Ameriprise Accts Retirement Judy,
58466,First National Bank & Trust,
58467,First National Bank & Trust IRAs,
58468,Wild River Land Management,
58469,Ameriprise Profit Shar A/C Judy Benishek,
58470,Medical Park Commercial Real Estate,
58471,Ameriprise Investment A/C Judy Benishek,
58472,Benishek for Congress,
58473,Checking Accounts First National Bank &,
58474,Tem Dragon Fund,
58475,John Hanock Life Balance Fund,
58476,Eaton Vance SR Fltg Rate Fund,
58477,Diversified Income Fund,"('Eaton Vance Short Duration Diversified Income Fund', 100)"
58478,Blackrock Build America Bond Trust,
58479,John Hancock Float Rate,
58480,E-Trade Account,
58481,Diversified Income-M,
58482,Convertible SECS Fund,
58483,Columbia Seligman Premium Tech,"('Columbia Seligman Premium Technology Growth Fund Inc', 100)"
58484,CL Multiple Asset Port Plus Claymore UIT,
58485,CL Multiple Asset Port Plus 2,
58486,CAP Spectrum,
58487,Allied Gold,
58488,Eaton Vance Sr Floating Rate Trust,
58489,John Hancock Lifestyle Balanced,
58490,Legg Mason BW Global Income Opportunities Fund Inc,"('Legg Mason BW Global Income Opportunities Fund Inc', 100)"
58491,John Hancock Floating Rate Fund,
58492,iShares US Industrials ETF,"('iShares US Industrials ETF', 100)"
58493,Guggenheim Short Dur Hi Yld,
58494,Ameriprise Frontier Fund Long Short Comm Fund,
58495,Ameriprise AM Century Equity Income  Fund,
58496,Ameriprise Aberdeen Asia-Pacific Income Fund Inc,"('Aberdeen Asia-Pacific Income Fund Inc.', 99)"
58497,Ishares Floating Rate Bond ETF,"('iShares Floating Rate Bond ETF', 93)"
58498,Banking FNB Checking Account,
58499,Medical Park-Commercial Real Estate,
58500,John Hancock Life Bal Fund,
58501,Claymore Multiple Asset Portfolio Plus 2,
58502,Benishek For Congress/Loan,
58503,Putnam Convertible Secs Fund,
58504,Putnam Cap Spectrum Fund,
58505,John Hancock Glb Opps Fund,
58506,Frontier Fund Long Short Commodity Serie,
58507,Franklin Group Tem Global Bond Fund,
58508,Fidelity New Nsights Fund,
58509,Fidelity High Inc Fund,
58510,Claymore Gugghm Short Dur High Yield,
58511,Blackrock Utility & Infrastructure Tru,
58512,Blackrock Resources & Commodities Strate,"('Blackrock Resources & Commodities Strategy Trust', 100)"
58513,Miners State Bank Savings Account,
58514,MFB Northern Instl Funds Prime,
58515,Kinder Morgan Energy Partners LP-Units L,"('Kinder Morgan Energy Partners LP', 100)"
58516,First National Bank & Trust Checking Acc,
58517,First Trust Sabrient Bakers Dzn 2015 Mo Ca,
58518,Eaton Vance Senior Floating-Rate Fund Common Share,
58519,Putnam Covered Securities Fund,
58520,First Trust Cap Strength Buy Write 21 SA FE CA,
58521,Catalyst Hedged Futures Strategy,
58522,Amerirprise John Hancock Floating Rate,
58523,AB High Income,
58524,NRG Yield Inc,"('NRG Yield Inc', 100)"
58525,MFB Nothern Institutional Funds Prime,
58526,BlackRock Resources,"('Blackrock Resources & Commodities Strategy Trust', 95)"
58527,Eaton Vance Enhance Equity Income Fund II,"('Eaton Vance Enhanced Equity Income Fund II', 98)"
58528,Daniel Benishek MD PC FNB Checking Account,
58529,Fidelity Investments Fidelity Freedom 2,
58530,Federal Employees Retirement System,
58531,Utah Retirement Systems Long Horizon Fd,
58532,Utah Community Credit Union/Checking,
58533,Utah Community Credit Union Account,
58534,Utah Retirement Systems/Long Horizon Fnd,
58535,Fidelity Investments retirement fund,
58536,Utah Public Employee Retirement Fund,
58537,EnergySolutions Inc,"('EnergySolutions Inc', 100)"
58538,Utah Retirement Sys Long Horizon Fund,
58539,Federal Employees Retirement fund,
58540,Fidelity Freedom 2,
58541,Utah Community Credit Union Checking,
58542,Utah Retirement Systems Long Horizon Fund,
58543,Utah Community Credit Union Savings,
58544,"Utah Community Credit Union(Orem, UT)/Checking",
58545,Central Pacific Bank Account,
58546,Pueo Enterprises,
58547,"92-414 Farrington Highway/Kapolei, HI",
58548,First Hawaiian Bank Account IRA,
58549,State of Hawaii Employee Retirement,
58550,Lenakona Development Ltd,
58551,First Hawaiian Bank Checking Account,
58552,Central Pacific Bank Account-Savings,
58553,Central Pacific Bank Checking Account,
58554,First Hawaiian Bank Savings Account,
58555,First Hawaiian Bank SEP/IRA Money Market,
58556,Central Pacific Bank Accounts,
58557,PUEB Trucking,
58558,PUEB Enterprises,
58559,First Hawaiian Bank Account,
58560,First Hawaiian Bank IRA,
58561,Colleen Hanabusa LLLC,
58562,Levakona Development,
58563,"Land Holiday in Miami, Hawaii",
58564,First Hawaii Bank SEP IRA,
58565,First Hawaiian Bank/Savings,
58566,First Hawaiian Bank Account IRA MM,
58567,First Hawaiian Bank IRA Money Market,
58568,Lenakona Development,
58569,Hanabusa LP,
58570,First Hawaiian Bank/Checking,
58571,Central Pacific Savings Account,
58572,Central Pacific Checking Account,
58573,Pueo Trucking LLC,
58574,First Hawaiian Bank/Savings-cash,
58575,Central Pacific Bank/Account,
58576,"85-910 Bayview St/Waianae, HI",
58577,Hanabusa LP Land,
58578,Central Pacific Bank/Checking,
58579,Central Pacific Bank/Savings,
58580,Dividend Plus Income Fund,
58581,Mid Continent Car Sales,
58582,Fidelity Checking,
58583,Arranair 60 Month S Note,
58584,Healthy Foods LLC,
58585,SPDR Mid Cap ETF,
58586,Oppenheimer Dev,
58587,IShares Russell Index,
58588,Fidelity Floating Riv,
58589,ASTON/TAMRO Small Cap Fund,
58590,iShares Brazil Fund,
58591,iShares South Korea,
58592,Westmoreland International,
58593,Vanguard Small Cap Value ETF,"('Vanguard Small-Cap Value ETF', 96)"
58594,Style Street Corp,
58595,Spiden Pressure Mobile,
58596,PowerShares Financial Preferred,"('PowerShares Financial Preferred Portfolio', 100)"
58597,Parkview Checking,
58598,Omnicon Group,
58599,JPMorgan Alenia Index,
58600,iShares NA Natural Resources Fund,
58601,iShares China Fund,
58602,iShares Australia,
58603,iPath Dow Jones UBS Commodity Index,
58604,InformAbility Inc,"('Ability Inc', 100)"
58605,Huntington Checking,
58606,GTLS Chart Industry,
58607,DHR Bancher Corp,
58608,DGS Powershares Water Tree,
58609,Barclays India ETN,
58610,Touchstone Sands,
58611,DPJ IRA Rollover,
58612,VH Fl03 Vanguard 2030,
58613,Harbour International,
58614,DPJQSST Trust Mid Continent Sth-metalogical Cool/C,
58615,SPDR S&P MidCap 400,
58616,SPDA S & P 500 ETF,
58617,JP Morgan Alerian,
58618,Fidelity Freedom Fund,
58619,Deutsche Bank AG Note,"('Deutsche Bank AG', 100)"
58620,60 Month 5% ints note,
58621,Walton Invert,
58622,Vanguard Value Viper,
58623,Spider Index Funds,
58624,SPDR S & P Mid Cap,
58625,SPDR Barclays ETF,
58626,Rita M Joyce IRA Fidelity Cash Reserve,
58627,Powershares Multi Sector,
58628,Powershares 999,
58629,Northstar Rftg,
58630,Met Life Stk,
58631,iShares Russell Value,
58632,iShares Russell Growth,
58633,iShares Emery Market,
58634,iShares EAER ETF,
58635,Vanguard Specialized Index Div App,
58636,SPDR Index S&P Europe,
58637,Quarts Services,
58638,Occidental Pet,"('Occidental Petroleum Corp', 100)"
58639,Mellowox Tech,
58640,Market Vectors ETF of Fund,
58641,iShares US Home,
58642,iShares NA Nat Resources,
58643,iShares Midcap Value,
58644,iShares Midcap Gro,
58645,First Solon Inc,
58646,Fidelity TIAA Pull Money/Mkt,
58647,Fidelity Floating Rate Money Market,
58648,ETFS Pric Metal,
58649,ETFS Precious Metal,"('ETFS Precious Metals Basket Trust', 100)"
58650,DR Newton Inc,
58651,Barclays Bank PLC,"('Barclays Bank PLC', 100)"
58652,Touchstone Sands Capital,
58653,Vanguard/Windsor II,
58654,Tamro Small Cap,
58655,OH Vanguard 403,
58656,60 Month El Note,
58657,Fidelity Floating Rate High,
58658,SPDR Technology Index,
58659,JP Morgan Alerian MLP,
58660,iShares MSCI Emerging Market Index Fund,
58661,First Solar,"('First Solar Inc', 100)"
58662,Wisdomrree Emerging Markets Small Cap,
58663,Wisdomrree Emerging Markets,
58664,Vanguard Sm Cap Value Fund,
58665,TransCanada Corp,
58666,SPDR S&P Emerging Groups,
58667,Qihoo 360 Technology Co,"('Qihoo 360 Technology Co Ltd', 100)"
58668,Northstar Realty Corp,
58669,Fidelity TaxFree (non-Amt),
58670,Buggenheim S&P Healthcare,
58671,MAI Mawageel Vol,
58672,Vanguard Windsor II Fund Admiral Shares,
58673,Touchstone Sawds,
58674,Aston Small Cap,
58675,Vanguard 403,
58676,SPDR SSP Mid Cap,
58677,SPDR SEK IR Barclay,
58678,Roth IKA,
58679,Ishares MSCI EAF,
58680,Huabua International,
58681,Fidelity Govt Rate,
58682,Fidelity Govt Fund,
58683,Deutsche Bank Zeno Growth,
58684,Vanguard Government Fund,
58685,SPDR SEK TH Barclay,
58686,SPDR Sector SCK,
58687,QQQ Powershares,
58688,Ishares MSCI EME,
58689,Fidelity Governmentt Fund,
58690,Fidelity Government,
58691,Vanguard Special VIG,
58692,UBS E Tracs,
58693,Trawscauda Gap,
58694,Spdr Sms Funds,
58695,SPDR Sector XCK,
58696,SPDR Sector XCI,
58697,Qihoo 360 Technology,"('Qihoo 360 Technology Co Ltd', 100)"
58698,Northstar Realty NRF,
58699,Northstar Reality NRE,
58700,Menck,
58701,Ishares Tr EAFF,
58702,iShares Russell Mid-Cap Value ETF,"('iShares Russell Mid-Cap Value ETF', 100)"
58703,iShares Russell Mid-Cap Growth ETF,"('iShares Russell Mid-Cap Growth ETF', 100)"
58704,Guggenheim S&P 500 Equal Weight Health Care ETF,"('Guggenheim S&P 500 Equal Weight Healthcare ETF', 96)"
58705,Fidelity Government Rate,
58706,Amertek,
58707,PPJ IRA Rollover Account,
58708,Dividend Plus Income Institutional,
58709,Mid-Continent Coal & Coke,
58710,UH 403 Fed Freedom 2030,
58711,Aston Fairpointe Mid Cap Fund,
58712,60 Month 5% Note,
58713,United Health Corp,
58714,SPDR Index Asia,
58715,SPDR Barclays High Yield Fund,
58716,JPMorgan Aleman Index,
58717,Aston Tamro,
58718,Vanguard Index Dividend Appreciation,
58719,SPDR Index Europe,
58720,iShares Russell Mid Cap,"('iShares Russell Mid-Cap Value ETF', 96)"
58721,iShares Russell Index,
58722,iShares Euro ETF,
58723,FTRAX Fidelity Cash,
58724,Baudu Inc,
58725,Barclays PLC Ipath,"('Barclays PLC', 100)"
58726,Stephen & Lynn Fincher Farms,
58727,"Stephen & Lynn Fincher Farm Halls, TN",
58728,Utah 401k Large Cap Index,
58729,Utah 401k Balanced Fund,
58730,Idaho Public Employee Retirment System,
58731,American Funds 2030 Target Fund,
58732,Utah Retirement System 401K Income,
58733,Tejay Properties,
58734,American Funds Large Cap Index,
58735,DBR Real Property Trust,
58736,Vanguard FTSE AW Index Ex-US,
58737,Urban Renewal & Redev Tax Alloc Bond,
58738,Rydex NOVA Inv,
58739,Pub Impt Ref G/O Bond,
58740,Lower Co Riv TX Auth Ref Revenue Bond,
58741,Intermed Lien Ref Revenue Bond,
58742,Idaho State Bldg Auth Ref Revenue Bond,
58743,Forest Presv Dist Ref G/O Bond,
58744,Florida State Boe Lottery Ref Revenue Bond,
58745,City & County Airport Revenue Bond,
58746,Water & Sewer Sys Ref Revenue Bond,
58747,University TX Fin Sys Revenue Bond,
58748,University of Co Enterprise Ref Revenue Bond,
58749,University Id Gen Ref Revenue Rmkt Bond,
58750,TX Pub Fin Auth Unemployment Comp Revenue Bond,
58751,Seattle Washington Ref G/O Bond,
58752,Renewal Lease Ref RevBond,
58753,PUD #2 Hydro Elec Ref Revenue Bond,
58754,Florida State Boe Pub Educ Ref G/O Bond,
58755,Fidelity Growth Co Units,
58756,BOE Ref G/O Bond,
58757,Arizona State Brd Regents University Sys Rev,
58758,Airport Pkg Pacs Revenue Bond,
58759,Vanguard 500 Index Fund Investor Shares,
58760,VA Pub Bldg Auth Bond,
58761,Spartan Intl Index Fund Fid Advtg,
58762,Service Center Roloc Lease Revenue Bond,
58763,Idaho State University Ref Gen Revs Bond,
58764,Global Partnerships Microfinance Fund 2008,
58765,Washington State Cops Unref Bond,
58766,Vanguard Tax Managed Cap Appreciation Ad,
58767,Electro Rent Corp,"('Electro Rent Corp', 100)"
58768,Washington State & Local Agency R/E Ppty Cops Bond,
58769,Florida Turnpike Authority Tp Bond,
58770,Urban Renewal & Redevelopment Ref,
58771,Rev Lien Ref Revenue Bonds,
58772,Idaho Health Facs Auth Revenue Bonds,
58773,Idaho Building Auth Bldg Rev Ref Bonds,
58774,2007 Bonds Public Impt Ref Bonds,
58775,Water & Wastewater System Revenue Bond,
58776,Washington St Motor Vehicle Fuel Tax G/O,
58777,Vanguard FTSE All World Ex US Index,
58778,Urban Renewal Agency,
58779,University Revenues University Bonds,
58780,University Revenues Revenue Bonds,
58781,Texas Public Finance Authority Rev,
58782,Pub Util Dist No 2,
58783,Limited Tax G/O Impt Ref Bonds Ser,
58784,Intermountain Power Agency Utah Power,
58785,Florida Board Ed Pub Ed Cap Outlay Bond,
58786,Enterprise Systems,"('Enterprise Systems Inc', 100)"
58787,Airport Revenue Airport Pkg,
58788,Spartan International Advantage Index,
58789,Service Ctr Relocation Inc Fort,
58790,Idaho University Gen Revenue Ref Bonds,
58791,Global Partnerships Microcredit Finance,
58792,Vanguard Intl Equity Index FDS MSCI Emer,
58793,Wells Fargo FDIC Insured Deposit,
58794,Washington St Health Care Facs Auth Bond,
58795,Portland Ore Urban Renewal & Redev Bond,
58796,Port Seattle Wash Rev Lien Ref Rev Bonds,
58797,Lower Colo Riv Auth Tex Transmission Bnd,
58798,Idaho Health Facs Auth Rev Rev Bonds,
58799,Idaho Bldg Auth Bldg Bonds,
58800,Cons Pub Impt Bonds,
58801,Arizona Brd Regents Ariz St Univ Sys Bnd,
58802,2007 Bds Public Impt Ref Bonds,
58803,Washington St Go Motor Vehicle Fuel Bond,
58804,Vanguard FTSE All-World Ex-US Index,
58805,Urban Renewal Agy Bond,
58806,University Tex Univ Revs Rev Bonds,
58807,Ltd Tax Go Impt Ref Bonds,
58808,Intermountain Pwr Agy Utah Pwr Supply 05,
58809,Grant Cnty Wash Pub Util Dist No 2 Bond,
58810,Chelan Cnty Wash Pub Util Dist No 001 Bd,
58811,Austin Tex Wtr & Wastewater Sys Bond,
58812,Aberdeen Wash SPL Rev SPL Ref Rev Bonds,
58813,Service Center Relocation Inc,
58814,Energy Northwest Wash Elec Bond,
58815,Dumping Lisa LLC,
58816,Colorado Dept Trans Rev Rans Bond,
58817,Vanguard Tax Managed Capital App Fund,
58818,Fidelity Investment deposit account,
58819,Medina Residence,
58820,Washington DC Residence,
58821,Trilinc Global Impact Fund,
58822,TCG PRIVATE SELECT PARTNERS,
58823,Lighthouse Global Long Short Fund,
58824,Cornerstone Multifamily Income Fund,
58825,Columbia Pacific Income Fund II,
58826,Fidelity Muni Money Markets,
58827,Parametric Tax-Managed Emerging Markets,
58828,Wisdomtree Europe ETF,
58829,Vanguars S&P 500 Index Trust,
58830,REDWOOD-KAIROS REAL ESTATE VALUE FUND IV (EIF),
58831,Portland Oregon Urban Renewal & Redev Tax Alloc 5,
58832,Pacific West Land Real Estate Income,
58833,Orlando & Orange Cnty Expwy Auth Fla Bond,
58834,N East ISD TX,
58835,Fidelity Growth Co Pool,
58836,Dignity Health,
58837,Bay Area Toll RV,
58838,University ID Educ Pub Bond,
58839,SP MultiFamily Fund II,
58840,SP FountainGlen Venture,
58841,Pennsylvania Economic Dev Financing,
58842,North Dakota State Housing Bond,
58843,GLOBAL PARTNERSHIPS SIF,
58844,Balfour Place Investors,
58845,Roper Ind 2.05% Due 10/01/18,
58846,Huntington Capital Fund III,
58847,Global Partnerships,
58848,EJF Specialty Finance,
58849,Hannon Armstrong Sustainable Infrastructure Fund,"('Hannon Armstrong Sustainable Infrastructure Capital Inc', 92)"
58850,Zumtobel Group,
58851,Wasion Group Holdings,
58852,Vanguard S&P 500 Index Trust,
58853,Vanguard Europe Pacific (VEA),
58854,SolarEdge Technologies,"('SolarEdge Technologies Inc', 100)"
58855,Silver Spring Networks,"('Silver Spring Networks Inc', 100)"
58856,PSI AG (5522714),
58857,Osram Licht AG,
58858,Mobileye NV,"('Mobileye NV', 100)"
58859,Maxwell Technologies,"('Maxwell Technologies Inc', 100)"
58860,LumenPulse Inc,
58861,Kingspan Group,
58862,ITRON Inc,
58863,Fleetmatics Group,"('FleetMatics Group plc', 94)"
58864,Dialight Fund,
58865,BioAmber Inc,"('BioAmber Inc', 100)"
58866,Badger Meter Inc,"('Badger Meter Inc.', 100)"
58867,Alberts,"(""Albertson's Inc."", 100)"
58868,Advanced Drainage Systems,"('Advanced Drainage Systems Inc', 100)"
58869,8point3 Energy Partners LP,"('8point3 Energy Partners LP', 100)"
58870,SGS SA-Reg (4824778),
58871,GRRTS Ltd,
58872,TCG Private Select Partners,
58873,GRRTS Ltd Washington DC Residence,
58874,Global Partnerships Sif,
58875,Denver Co City & County Airport Revenue Bond,
58876,Bay Area Toll RV Bond,
58877,Washing St Go Bond,
58878,Univ ID 5.25% Educ Pub Bond,
58879,ND St Hsg FA,
58880,Grant County WA Pud #2 Hydro Elec Ref Rev,
58881,Federal Home Loan Banks securities,
58882,Boise City Idaho Renewal Lease Ref Rev Bond,
58883,Boise City Idaho Airport Pkg Pacs Bond,
58884,Austin Texas Water & Sewer Sys Ref Revenue Bond,
58885,Redwood-Kairos Real Estate Value Fund IV,
58886,Goose Creek TX C Bond,
58887,PSI AG,
58888,Ozner Water,
58889,MiX Telematics,"('MiX Telematics Ltd', 100)"
58890,Meyer Burger,
58891,LKQ CORP,
58892,Hannon Armstrong Sustainable Infrastructure Cap,"('Hannon Armstrong Sustainable Infrastructure Capital Inc', 100)"
58893,Energy Recovery Inc,"('Energy Recovery Inc', 100)"
58894,Dialight,
58895,Canadian Solar,"('Canadian Solar Inc', 100)"
58896,Put SPDR S&P 500 ETF Exp 01/17/15,
58897,Vanguard Windsorac II Inv Fund,
58898,Vanguard CRSP US Large Fund,
58899,Jackson Hole Living LLC,
58900,Vanguard CRSP US Large Cap Growth Fund,
58901,Vanguard CRSP US LA CAP VAL Fund,
58902,Teacher Retirement System of Texas,
58903,Pinnacle Bank,"('Pinnacle Bankshares Corp', 100)"
58904,iShares Int Govt Bond ETF,
58905,Gold & Silver Mining Co,
58906,Vanguard CRSP US Mid Cap Value Fund,
58907,SPDR Barclays Intermediate Term Treasury,
58908,Thrivent-CSV of Life Policy,
58909,TD Bank/Cash,
58910,iShares US Treasury ETF,
58911,Vanguard Index Funds - Vanguard Value ETF,"('Vanguard Value ETF', 100)"
58912,Vanguard Index Funds - Vanguard Growth ETF,"('Vanguard Growth ETF', 100)"
58913,Pinnacle Bank Savings,
58914,iShares Interm Government/Credit Bond,
58915,Vanguard Long-Term Bond Index ETF,
58916,Vanguard Index Funds Vanguard Mid-Cap Value,
58917,Vanguard FTSE All-World ex-US Small-Cap ETF,"('Vanguard FTSE All-World ex-US ETF', 91)"
58918,Thrivent-CSV of Life PolicyProvider: Thrivent ,
58919,TD Ameritrade IRA Cash Accounts,
58920,Pioneer Value Fund,
58921,iShares Trust - iShares TIPS Bond ETF,"('iShares TIPS Bond ETF', 100)"
58922,iShares Trust - iShares 1-3 Year Treasury Bo,
58923,APCO Employees Credit Union,
58924,iShares Intermediate Government/Credit Bond ETF,"('iShares Intermediate Government/Credit Bond ETF', 100)"
58925,TD Bank Cash,
58926,State Employees Credit Union Money Marke,
58927,Yacktman Focused Serve Mutual Fund,
58928,First Eagle Ones Mutual Fund,
58929,Templeton Global Bond Mutual Fund,
58930,Schwab Adv Cash Reserves Money Market,
58931,New York Asset Strategy Fund,
58932,AMG Yacktman Focused,
58933,Permanent Portfolion,
58934,Case Reserve,
58935,Contra Costa County Employee Retirement Assn,
58936,Contra Costa Federal Credit Union,
58937,Hat in the Ring Inc,
58938,Contra Costa County Deferred Compensation Plan,
58939,DBL Corp,"('LDB Corp', 93)"
58940,MassMutual Money Market,
58941,"719 E 11th St/Ocean City, NJ",
58942,"607 Avon Road/Philadelphia, PA",
58943,2250 Pileggi Rd/Washington PA,
58944,Fidelity Inv IRA,
58945,"9524 N Myrtlewood/Philadelphia, PA",
58946,"75 E Phil Eilen/Philadelphia, PA",
58947,"709 Prince St/Harrisburg, PA",
58948,"6309 Lambert St/Philadelphia, PA",
58949,"6254 Beechwood St/Philadelphia, PA",
58950,"5631 Crowson St/Philadelphia, PA",
58951,"4609 Fernher St/Philadelphia, PA",
58952,"4506 N 15th St/Philadelphia, PA",
58953,"3159 N 28 St/Philadelphia, PA",
58954,"256 Montana St/Philadelphia, PA",
58955,"1731 Colonial St/Philadelphia, PA",
58956,"4552 Mole St/Philadelphia, PA",
58957,602 Avon Rd,
58958,4609 Fernhill Rd,
58959,719 E 11th St,
58960,2250 Pileggi Rd,
58961,75 E Phil Ellena St,
58962,709 Prince St,
58963,256 Montana St,
58964,1731 W Colonial St,
58965,5631 Crowson St,
58966,4552 mole St,
58967,4506 15th St,
58968,3159 28th St,
58969,1524 N Myrtlewood St,
58970,"10 N Main St/Chatham, VA",
