samples,ratio,partial_ratio,token_sort_ratio,partial_token_sort_ratio,token_set_ratio,UWRatio
state of indiana 457 plan - stable value fund,"('wisdomtree indian rupee strategy fund', 54)","('satelco inc', 73)","('united states metals index fund', 57)","('albea sa', 75)","('worldwide value fund', 67)","('adventure lands of america', 86)"
lazard intl strategic equity prt open,"('mlp & strategic equity fund inc', 65)","('lazard ltd', 80)","('mlp & strategic equity fund inc', 70)","('aar corp', 75)","('lazard ltd', 75)","('cabot (j.p.) equity corp', 86)"
charles schwab municipal fund,"('greenwich street ca municipal fund', 70)","('thales', 83)","('schwab (charles) corp', 71)","('thales', 83)","('schwab (charles) corp', 85)","('invesco bond fund', 86)"
matchbin inc,"('matchnet inc', 83)","('inx inc', 92)","('matchnet inc', 83)","('mca inc', 86)","('matchnet inc', 83)","('a & e plastik pak inc', 86)"
energie beheer nederland,"('entergy new orleans', 56)","('engie sa', 75)","('underground energy corp', 60)","('energen corp.', 75)","('underground energy corp', 60)","('engie sa', 68)"
mfs inter income tr sh ben int,"('mfs intermarket income trust i', 73)","('integ inc', 89)","('mfs intermediate income trust', 68)","('be inc', 83)","('mfs intermarket income trust i', 70)","('cole real estate income strategy (daily nav) inc', 86)"
green river enterprises,"('green power enterprises inc', 80)","('green power enterprises inc', 87)","('green power enterprises inc', 84)","('green power enterprises inc', 83)","('green power enterprises inc', 85)","('commonwealth telephone enterprises inc', 86)"
schwab institutional select fund,"('schwab international equity etf', 67)","('hwc distribution', 75)","('industrial select sector spdr fund (the)', 63)","('sm&a', 75)","('institutional investors/de', 67)","('invesco bond fund', 86)"
vanguard intermediate tax exempt fund,"('vanguard intermediate-term bond etf', 78)","('vanguard intermediate-term bond etf', 77)","('vanguard intermediate-term bond etf', 75)","('vanguard intermediate-term bond etf', 77)","('vanguard r e fund i', 81)","('alterman investment fund', 86)"
herger gas,"('embraer sa', 60)","('asi', 80)","('gas service co', 58)","('fall river gas co', 74)","('gas service co', 58)","('adobe oil & gas corp', 86)"
thompson bond fund,"('thompson pbe inc', 71)","('upson co', 75)","('invesco bond fund', 69)","('oppenheimer world bond fund', 72)","('invesco bond fund', 69)","('adams diversified equity fund inc', 86)"
fidelity t rowe price mid cap value,"('ishares russell mid-cap value etf', 59)","('price co', 75)","('spdr s&p 400 mid cap value etf', 62)","('price co', 75)","('price co', 77)","('a i t s inc', 86)"
specialized tech resour loan b 1st lien,"('specialty restaurants', 57)","('ust inc.', 71)","('specialized health products international', 57)","('e-loan inc', 80)","('specialized health products international', 60)","('a.b.a. industries inc', 86)"
maryland state retirement system,"('automated marketing system', 62)","('sys', 100)","('heartland payment systems inc', 62)","('sys', 100)","('retirement living inc', 65)","('bkw system inc', 86)"
national rv holdings,"('national r.v. holdings inc.', 87)","('knoll international holdings', 92)","('national r.v. holdings inc.', 89)","('national holdings corp', 92)","('national holdings corp', 92)","('national holdings corp', 87)"
genspring federated tax-free oblig,"('prime federal bank fsb/wi', 54)","('spr inc', 71)","('federated publications inc', 57)","('olie inc', 75)","('federated group inc', 64)","('federated capital corp', 86)"
onthofix international,"('orthofix international nv', 89)","('orthofix international nv', 95)","('orthofix international nv', 89)","('sonoma international', 85)","('orthofix international nv', 89)","('orthofix international nv', 89)"
open solutions inc,"('open solutions inc.', 100)","('open solutions inc.', 100)","('open solutions inc.', 100)","('open solutions inc.', 100)","('open solutions inc.', 100)","('open solutions inc.', 100)"
daily inches inc,"('day mines inc', 83)","('esl inc', 86)","('day mines inc', 83)","('igc inc', 86)","('day mines inc', 83)","('abm computer systems inc', 86)"
crm small cap value fd institutional fund,"('first trust small cap value alphadex fund', 61)","('sm&a', 75)","('claymore/indexiq small-cap value etf', 62)","('sm&a', 75)","('global small cap fund inc', 72)","('alterman investment fund', 86)"
"boulder city, nv rev bond","('boulder brewing co', 56)","('udr inc', 71)","('invesco bond fund', 59)","('relx nv', 77)","('boulder brands inc', 67)","('vaneck vectors emerging markets high yield bond etf', 86)"
juntl county/city managers assoc,"('united community banks inc', 59)","('tls co', 83)","('creative management associates inc', 58)","('netmanage inc', 69)","('creative management associates inc', 58)","('city investing co', 86)"
ron dotzauer receivable,"('national auto receivables', 67)","('national auto receivables', 70)","('national auto receivables', 58)","('valeron corp', 67)","('receivable acquisition & management corp', 61)","('receivable acquisition & management corp', 86)"
nxl,"('noxell', 67)","('aes technology systems inc', 67)","('noxell', 67)","('aes technology systems inc', 67)","('noxell', 67)","('noxell', 67)"
charles schwab - govt money fund wells fargo absol,"('accushares spot cboe vix up shares', 48)","('thales', 83)","('wells fargo utilities and high income fund', 56)","('aol inc', 71)","('wells fargo & co', 88)","('adams diversified equity fund inc', 86)"
"green bay, wi sewer system bond","('great western systems inc', 64)","('sys', 100)","(""hardee's food systems inc"", 58)","('sys', 100)","('2b system inc', 63)","('invesco bond fund', 86)"
publicly traded mutual funds dreyfus pre,"('russell exchange traded funds trust', 53)","('public storage', 79)","('dreyfus strategic municipal bond fund inc.', 57)","('public storage', 79)","('dreyfus corp', 74)","('dreyfus corp', 86)"
vanguard limited tax exempt fund,"('vanguard mid-cap etf', 69)","('summit tax exempt bond', 77)","('vanguard r e fund i', 71)","('vanguard municipal bond funds - vanguard tax-exempt bond etf', 75)","('vanguard r e fund i', 81)","('invesco bond fund', 86)"
omega healthcare invs,"('merge healthcare inc', 83)","('omega healthcare investors inc.', 95)","('merge healthcare inc', 83)","('car inc', 86)","('omega healthcare investors inc.', 86)","('dynamic healthcare technology inc', 86)"
advanced marketing services,"('advanced marketing services inc.', 93)","('advanced marketing services inc.', 100)","('advanced marketing services inc.', 93)","('advanced marketing services inc.', 85)","('advanced marketing services inc.', 100)","('advanced marketing services inc.', 95)"
california state public worker rev bond,"('california republic bancorp', 64)","('california state bank/ca', 79)","('california real estate-old', 65)","('air california', 79)","('air california', 83)","('air california', 86)"
pentegra cash account,"('central coast bancorp', 62)","('sm&a', 75)","('cathay general bancorp', 60)","('asi', 67)","('cathay general bancorp', 60)","('trimtabs intl free-cash flow etf', 86)"
vanguard stable value fund,"('vanguard small-cap value etf', 74)","('vanguard real estate fund ii', 73)","('vanguard small-cap value etf', 74)","('vanguard value etf', 89)","('vanguard value etf', 88)","('invesco bond fund', 86)"
new york state employees fcu,"('new york st elec & gas corp', 65)","('esd co', 67)","('new york st elec & gas corp', 60)","('new york reit inc', 71)","('new york & co inc', 70)","('arrays inc-new', 86)"
dreyfus cash management plus income,"('medley management inc', 64)","('eplus inc', 89)","('credit suisse asset management income fund inc.', 69)","('hfs inc', 86)","('dreyfus corp', 74)","('beverage management inc', 86)"
maine state housing authority bond,"('mohegan tribal gaming authority', 62)","('asi', 67)","('mohegan tribal gaming authority', 62)","('mapi inc', 75)","('mohegan tribal gaming authority', 62)","('invesco bond fund', 86)"
ge life & annuity co,"('great-west life & annuity insurance co', 69)","('great-west life & annuity insurance co', 80)","('great-west life & annuity insurance co', 67)","('gehl co', 86)","('great-west life & annuity insurance co', 91)","('acushnet co', 86)"
"bibb county, al g/o wts bond","('discount auto parts inc', 55)","('bibb co', 100)","('town and country trust (the)', 60)","('bibb co', 86)","('bibb co', 73)","('bibb co', 90)"
arvest bank/accounts,"('argent bank/la', 65)","('first bank', 80)","('marine harvest asa', 63)","('tls co', 67)","('great country bank', 74)","('bank one corp', 86)"
"cattle ranch/2200 acres/lindsay, tx","('allied bancshares inc/tx', 61)","('ceres inc', 78)","('texas capital bancshares inc', 55)","('chattem inc', 73)","('lindsay corp', 74)","('camco inc/tx', 86)"
trinity petroleum,"('oil city petroleum inc', 72)","('oil city petroleum inc', 82)","('triangle petroleum corp', 70)","('transatlantic petroleum ltd', 82)","('argo petroleum', 78)","('alpha petroleum exploration', 86)"
prime money market rbc investor,"('rainier realty investors', 62)","('emcon', 80)","('transamerica realty investors', 63)","('macke co', 75)","('transamerica realty investors', 63)","('market facts inc', 86)"
insteres ultra kix short term etn,"('proshares ultra vix short-term futures etf', 72)","('nstar', 80)","('proshares ultra vix short-term futures etf', 67)","('nstar', 80)","('proshares ultra vix short-term futures etf', 75)","('proshares short euro', 86)"
bay area hotel assoc,"('bay area bancshares', 62)","('el paso co', 70)","('bay area bancshares', 62)","('sm&a', 75)","('bay area bancshares', 67)","('bay state gas', 86)"
jp morgan chase retirement (pension) acc,"('jpmorgan china region fund inc', 63)","('jpmorgan chase & co', 79)","('retirement care assn inc', 61)","('morgan (j p) & co', 85)","('chase corp', 67)","('chase manhattan corp-old', 86)"
illinois st g/o bonds,"('illinois tool works inc.', 64)","('oi sa', 80)","('first illinois trust', 63)","('owens-illinois inc.', 71)","('owens-illinois inc.', 67)","('b.g. foods inc', 86)"
sterling mut'l tax free,"('sterling optical corp', 59)","('sterling inc', 75)","('star multi care services', 60)","('sterling inc', 75)","('sterling inc', 80)","('a l d inc', 86)"
standard & poors depository receipts,"('standard oil & exploration development', 59)","('standard oil co', 73)","('standard motor products inc.', 62)","('standard havens', 73)","('standard havens', 70)","('national-standard co', 86)"
south carolina state public service bond,"('southeastern public service co', 74)","('republic services inc.', 81)","('southeastern public service co', 74)","('republic services inc.', 86)","('south state corp', 81)","('invesco bond fund', 86)"
dcb539: preferred savings,"('global preferred holdings inc', 59)","(""fred's inc"", 70)","('sal trust preferred fund i', 60)","('savin corp', 70)","('sal trust preferred fund i', 60)","('vaneck vectors preferred securities ex financials etf', 86)"
us sustain core i portfolio,"('australian corporate holdings', 61)","('savin corp', 80)","('altisource portfolio solutions sa', 67)","('o. i. corp', 75)","('altisource portfolio solutions sa', 70)","('a i m cos', 86)"
broad street llc,"('bridge street inc', 73)","('dun & bradstreet corp (the)', 75)","('bridge street inc', 73)","('telent plc', 70)","('bridge street inc', 73)","('burlington northern santa fe llc', 86)"
boston beer,"('boston bancorp', 72)","('boston beer co inc. (the)', 100)","('boston bancorp', 72)","('boston beer co inc. (the)', 100)","('boston beer co inc. (the)', 100)","('boston beer co inc. (the)', 90)"
promissory note/gloria nelson 2003,"('proshares ultra s&p500', 54)","('lorimar', 71)","('florida gas transmission co', 52)","('lorimar', 71)","('nelson (l.b.) corp', 57)","('american bank note co', 86)"
dreyfus cash management brokerage sweep account,"('dispatch management services co', 59)","('ares management lp', 78)","('computer management sciences inc', 58)","('ares management lp', 78)","('dreyfus corp', 74)","('american healthcare management', 86)"
luthean chruch ext fund savings,"('blue chip value fund inc.', 58)","('asi', 67)","('faithshares lutheran values fund', 60)","('sm&a', 75)","('faithshares lutheran values fund', 60)","('invesco bond fund', 86)"
oil service holders,"('oil service holdrs trust', 84)","('oil service holdrs trust', 95)","('oil service holdrs trust', 84)","('oil service holdrs trust', 95)","('oil service holdrs trust', 84)","('aggie oil co', 86)"
integra lifesciences holdings,"('integra lifesciences holdings corp', 92)","('integra lifesciences holdings corp', 100)","('integra lifesciences holdings corp', 92)","('integra lifesciences holdings corp', 100)","('integra lifesciences holdings corp', 100)","('integra lifesciences holdings corp', 95)"
credit stock vs human etf,"('credit store inc. (the)', 64)","('criteo sa', 67)","('may dept stores credit co', 68)","('sm&a', 75)","('may dept stores credit co', 68)","('american credit', 86)"
openwave systems,"('wave systems corp.', 73)","('sys', 100)","('elba systems corp', 73)","('sys', 100)","('wave systems corp.', 85)","('sys', 90)"
harry fox agency,"('china for-gen corp', 59)","('farr co', 71)","('ishares agency bond etf', 62)","('farr co', 71)","('ishares agency bond etf', 62)","('twentieth century-fox film', 86)"
iberdrola sa,"('gerdau sa', 67)","('asi', 67)","('gerdau sa', 67)","('sm&a', 75)","('gerdau sa', 67)","('brisa international sa', 86)"
blackrock funds,"('blackrock inc', 79)","('blackrock inc', 85)","('blackrock inc', 79)","('blackrock munivest fund inc', 93)","('blackrock inc', 82)","('blackrock municipal 2030 target term trust', 86)"
massachusetts mfs investors growth,"('massachusetts electric co', 64)","('miw investors/wa', 75)","('massachusetts electric co', 64)","('miw investors/wa', 75)","('dk investors inc', 72)","('amc investors inc', 86)"
texas public finance authority rev,"('hsbc finance corp', 55)","('ubics inc', 78)","('pizza transit authority inc', 66)","('publicard inc.', 77)","('cm finance inc', 67)","('caribbean finance inc', 86)"
t bancshares inc,"('cb bancshares inc', 91)","('servisfirst bancshares inc', 100)","('gb&t bancshares inc', 91)","('allied bancshares inc/tx', 100)","('gb&t bancshares inc', 100)","('gb&t bancshares inc', 95)"
regal financial bank,"('ga financial inc.', 78)","('fidelity financial bankshares corp', 85)","('bankfinancial corp', 79)","('american financial realty trust', 85)","('muncy bank financial inc', 82)","('american family financial services inc', 86)"
florida board of education lottery bond,"('folio one productions ltd', 56)","('florida cos', 82)","('barnes & noble education inc', 58)","('florida cos', 82)","('florida cos', 78)","('adventure lands of america', 86)"
financial square treasury instr,"('financial leisure co inc', 65)","('nstar', 80)","('square 1 financial inc', 72)","('square 1 financial inc', 86)","('square 1 financial inc', 84)","('atico financial corp', 86)"
vanguard staple ira 500 index,"('vanguard s&p 500 etf', 69)","('staples inc.', 73)","('vanguard s&p 500 value etf', 73)","('sm&a', 75)","('vanguard s&p 500 etf', 75)","('first trust exchange traded fund vi multi asset diversified income index fund', 86)"
blackrock developing,"('blackrock inc', 73)","('blackrock inc', 77)","('blackrock inc', 73)","('blackrock inc', 77)","('blackrock inc', 82)","('blackrock municipal 2030 target term trust', 86)"
golub capital partners iv lp,"('global capital partners inc', 80)","('pjt partners inc', 81)","('global capital partners inc', 80)","('cvr partners lp', 87)","('ffp partners lp', 85)","('gould investors lp', 86)"
intergen investors,"('lincoln investors', 74)","('intergem inc', 83)","('investors finance inc', 72)","('anergen inc', 82)","('lincoln investors', 74)","('american fletcher mortgage investors', 86)"
russell global real estate securities fund,"('counsellors tandem securities fund', 71)","('vestaur securities fund', 87)","('wisdomtree global ex-us real estate fund', 73)","('global yield fund', 82)","('global yield fund', 79)","('adams russell', 86)"
enterprise apartments llc,"('enterprise systems inc', 68)","('sm&a', 75)","('ate enterprises inc', 73)","('enterprise oil plc', 88)","('ate enterprises inc', 73)","('intelligent communication enterprise corp-old', 86)"
calamos market & neutral fund,"('quantshares u.s. market neutral size fund', 66)","('sm&a', 75)","('calamos global total return fund', 71)","('quantshares u.s. market neutral high beta fund', 78)","('quantshares u.s. market neutral momentum fund', 83)","('invesco bond fund', 86)"
real property/90 acres,"('eola property trust', 68)","('brookfield property partners lp', 73)","('arbor property trust', 62)","('irt property co', 73)","('irt property co', 70)","('denver real estate investment assn', 86)"
new york ny for previou,"('new york intl commerce group', 67)","('new york & co inc', 71)","('new york regional rail corp', 68)","('previo inc', 80)","('new york reit inc', 70)","('arrays inc-new', 86)"
government securities fund ira,"('acm government securities', 76)","('acm government securities', 84)","('acm government securities', 80)","('acm government securities', 84)","('acm government securities', 91)","('invesco bond fund', 86)"
td ameritrade/cash,"('td ameritrade holding corp', 68)","('td ameritrade holding corp', 83)","('td ameritrade holding corp', 73)","('tdc a/s', 77)","('td ameritrade holding corp', 84)","('cash america international inc.', 86)"
"choctaw county, al tract 4/30 acres","('cross country healthcare inc', 54)","('tma co', 83)","('central tractor farm & country', 55)","('esl inc', 71)","('ventura county national bancorp', 55)","('essex county gas co', 86)"
hodges small intrinsic value fund,"('templeton value fund', 60)","('imall inc', 78)","('ishares morningstar small-cap value etf', 61)","('trinsic inc', 82)","('first trust small cap value alphadex fund', 68)","('invesco bond fund', 86)"
memphis tenn unrefunded,"('aim eastern europe fund', 61)","('nn inc', 67)","('aim eastern europe fund', 61)","('sunrun inc', 70)","('aim eastern europe fund', 61)","('aim eastern europe fund', 61)"
chancellor group,"('chancellor corp', 84)","('chancellor computer corp', 81)","('chancellor corp', 84)","('chancellor computer corp', 81)","('chancellor corp', 84)","('american airlines group inc', 86)"
lincoln delaware special opportunities,"('special opportunities fund inc', 62)","('special opportunities fund inc', 82)","('special diversified opportunities inc', 80)","('aware inc.', 89)","('special opportunities fund inc', 82)","('delaware national corp', 86)"
franklin strategic income fund,"('aim strategic income fund', 87)","('aim strategic income fund', 92)","('aim strategic income fund', 87)","('aim strategic income fund', 92)","('aim strategic income fund', 91)","('aim strategic income fund', 87)"
single family residence,"('ingles markets inc', 63)","('ride inc', 75)","('family shopping network inc', 64)","('singulex inc', 82)","('family shopping network inc', 64)","('american family financial services inc', 86)"
alaska air group,"('alaska air group inc.', 89)","('alaska air group inc.', 100)","('alaska air group inc.', 89)","('alaska air group inc.', 100)","('alaska air group inc.', 100)","('alaska air group inc.', 95)"
ishares dj us healthcare sector ind fun,"('ishares us healthcare etf', 78)","('ishares us healthcare etf', 88)","('ishares us healthcare etf', 72)","('car inc', 86)","('ishares us healthcare etf', 91)","('scherer healthcare inc', 86)"
invesco van kampen small cap value fund,"('invesco van kampen trust for value municipals', 71)","('vanguard small-cap value etf', 79)","('invesco van kampen trust for value municipals', 71)","('invesco bond fund', 76)","('invesco bond fund', 83)","('allied van lines inc', 86)"
akorn,"('akzona', 73)","('akorn inc', 100)","('akzona', 73)","('akorn inc', 100)","('akorn inc', 100)","('akorn inc', 90)"
mssb us small cap,"('schwab us small-cap etf', 75)","('victoryshares us small cap volatility wtd etf', 82)","('schwab us small-cap etf', 75)","('victoryshares us small cap volatility wtd etf', 76)","('ishares enhanced us small-cap etf', 83)","('cap ltd', 86)"
noel manzullo wachovia savings account,"('germantown savings bank', 56)","('oi sa', 80)","('suncoast savings & loan assn fsa', 56)","('coolsavings inc', 73)","('wachovia corp', 76)","('american savings/fl fsb', 86)"
city development inc/amount due,"('ec development inc', 69)","('ec development inc', 89)","('avco community development inc', 75)","('ec development inc', 89)","('ec development inc', 91)","('abc industries inc', 86)"
schwab amt tax free money market,"('schwab us aggregate bond etf', 60)","('emcon', 80)","('schwab us broad market etf', 62)","('freemarkets inc', 80)","('schwab us broad market etf', 67)","('market facts inc', 86)"
eagle small cap equity,"('vanguard small-cap etf', 68)","('wisdomtree japan hedged smallcap equity fund', 86)","('iq global oil small cap etf', 65)","('sm&a', 75)","('deutsche x-trackers msci eafe small cap hedged equity etf', 84)","('adams diversified equity fund inc', 86)"
80 acres/malino bridge road/santa rosa,"('cambridge royalty co', 52)","('nstar', 80)","('banco santander rio s.a.', 56)","('at road inc', 73)","('banco santander rio s.a.', 56)","('bridge communications inc', 86)"
"residence/flagstaff, az","('presidents first lady spa', 58)","('ride inc', 75)","('flagstar bancorp inc.', 62)","('careside inc', 75)","('flagstar bancorp inc.', 62)","('ride inc', 68)"
imperial sugar,"('imperial sugar co', 90)","('imperial sugar co', 100)","('imperial sugar co', 90)","('imperial sugar co', 100)","('imperial sugar co', 100)","('imperial sugar co', 95)"
put vt smcap val,"('at & t capital corp', 51)","('sm&a', 75)","('at & t capital corp', 55)","('sm&a', 75)","('at & t capital corp', 55)","('broadcast international inc/vt', 86)"
fomento economico mexicano,"('fomento economico mexican sab de cv', 82)","('fomento economico mexican sab de cv', 96)","('fomento economico mexican sab de cv', 82)","('fomento economico mexican sab de cv', 96)","('fomento economico mexican sab de cv', 82)","('fomento economico mexican sab de cv', 82)"
idaho public employee retirment system,"('wahlco environmental systems', 61)","('sys', 100)","('american management systems inc.', 58)","('sys', 100)","('2b system inc', 63)","('air florida system inc', 86)"
columbia young investor fund,"('columbia beyond brics etf', 64)","('columbia corp', 77)","('columbia western inc', 67)","('bird fund inc', 77)","('columbia corp', 76)","('invesco bond fund', 86)"
ubs dynamic alpha fund,"('first trust latin america alphadex fund', 62)","('dna medical', 73)","('calamos global dynamic income fund', 64)","('calamos global dynamic income fund', 77)","('pimco dynamic income fund', 71)","('adams diversified equity fund inc', 86)"
ing mfs total return portfolio svc,"('cushing mlp total return fund (the)', 62)","('total sa', 75)","('cushing mlp total return fund (the)', 63)","('total sa', 75)","('total sa', 77)","('total research corp', 86)"
alger american small capital fund,"('latin america smaller cos fund', 70)","('amerco', 83)","('american capital ltd', 68)","('american capital ltd', 85)","('american capital ltd', 89)","('american adventure inc', 86)"
keel point ejf distressed fund ii,"('nexpoint credit strategies fund', 62)","('la pointe industries', 75)","('highland distressed opportunities inc', 57)","('unioil', 67)","('point.360', 71)","('invesco bond fund', 86)"
lsw-life insurance co of the southwest 403b,"('life insurance co of georgia', 65)","('crane co.', 88)","('northwestern mutual life insurance co (the)', 74)","('southwest water co', 82)","('pekin life insurance co', 85)","('a.a. importing co inc', 86)"
fidelity asset manager,"('brookfield asset management inc', 64)","('brookfield asset management inc', 77)","('brookfield asset management inc', 68)","('fifth street asset management inc', 73)","('brookfield asset management inc', 68)","('first trust exchange traded fund vi multi asset diversified income index fund', 86)"
residence & 2 rental units,"('riverside metal products co', 57)","('ride inc', 75)","('central rents inc', 63)","('careside inc', 75)","('central rents inc', 63)","('1 potato 2 inc', 86)"
merrill lynch/bank of america-2481,"('merrill lynch & co inc', 68)","('amerco', 83)","('bank of america corp', 67)","('american bank inc', 88)","('bank of america corp', 86)","('american bank note co', 86)"
sometrics inc,"('solar metrics inc', 87)","('csp inc', 92)","('logimetrics inc', 86)","('metris cos inc.', 87)","('logimetrics inc', 86)","('solar metrics inc', 87)"
united bank,"('union bank', 76)","('united banks of colorado', 100)","('bank united corp', 81)","('bankunited financial corp', 91)","('united overseas bank ltd', 100)","('bank united corp', 95)"
eda denton realty/hsbc cash,"('education realty trust inc', 64)","('arden realty inc', 75)","('arden realty inc', 60)","('e.on se', 71)","('verde realty', 67)","('getty realty corp.', 86)"
fidelity fid fifty mutual fund,"('fidelity advisor korea fund', 63)","('first mutual inc', 75)","('fidelity msci materials index etf', 60)","('first mutual inc', 69)","('fidelity advisor korea fund', 65)","('invesco bond fund', 86)"
commerce bank account/cd,"('commerce bancorp inc.', 73)","('commerce banc corp', 83)","('arizona commerce bank', 76)","('bank of commerce/ca', 86)","('bank of commerce/ca', 81)","('bank one corp', 86)"
hartford mutual small co fund,"('hartford multifactor global small cap etf', 69)","('total sa', 75)","('hartford multifactor global small cap etf', 66)","('furon co', 75)","('hartford courant co', 73)","('anr pipeline co', 86)"
capitol gains fvp hialeah 21,"('capitol american financial corp', 58)","('capitol air inc', 73)","('capitol transamerica corp', 60)","('nhale inc', 78)","('capitol air inc', 64)","('capitol air inc', 86)"
banco bilbao vizcaya argentaria sa,"('banco bilbao vizcaya argentaria sa (bbva)', 92)","('banco bilbao vizcaya argentaria sa (bbva)', 100)","('banco bilbao vizcaya argentaria sa (bbva)', 93)","('banco bilbao vizcaya argentaria sa (bbva)', 85)","('banco bilbao vizcaya argentaria sa (bbva)', 100)","('banco bilbao vizcaya argentaria sa (bbva)', 95)"
advanced medical optics inc,"('advanced medical optics inc.', 100)","('advanced medical optics inc.', 100)","('advanced medical optics inc.', 100)","('medi inc', 100)","('advanced medical optics inc.', 100)","('advanced medical optics inc.', 100)"
united biscuits,"('united biscuits holdings plc', 70)","('united biscuits holdings plc', 100)","('united inns inc', 73)","('united security bancshares', 80)","('united biscuits holdings plc', 100)","('united biscuits holdings plc', 90)"
"randolph county, nc bonds","('north county bancorp', 62)","('nbty inc', 75)","('randolph bancorp inc', 73)","('ranco inc', 78)","('randolph bancorp inc', 73)","('first bancorp/nc', 86)"
oppenheimer quest opportunity value fund,"('guggenheim strategic opportunities fund', 66)","('oppenheimer & co', 75)","('guggenheim strategic opportunities fund', 68)","('oppenheimer & co', 86)","('oppenheimer & co', 88)","('alterman investment fund', 86)"
pahrump hd llc,"('pharma patch plc', 60)","('bref hr llc', 64)","('idm pharma inc', 57)","('bear island paper co llc', 69)","('jmp group llc', 59)","('burlington northern santa fe llc', 86)"
washington deferred comp bond fund,"('washington energy co', 63)","('esd co', 83)","('washington bancorp inc', 64)","('bion corp', 78)","('washington corp', 80)","('invesco bond fund', 86)"
wamego ks pollutn ctl westar energy proj,"('southwestern energy co', 58)","('qr energy lp', 83)","('power-save energy co-old', 59)","('nstar', 80)","('westar energy inc.', 87)","('acro energy corp', 86)"
massachusetts state water bond,"('massachusetts electric co', 69)","('tvsl sa', 71)","('western massachusetts electric co', 63)","('blackrock massachusetts tax-exempt trust', 69)","('eaton vance massachusetts municipal bond fund', 75)","('invesco bond fund', 86)"
cambium learning,"('cambium learning group inc', 76)","('cambium learning group inc', 100)","('cambium learning group inc', 76)","('learning co', 82)","('cambium learning group inc', 100)","('cambium learning group inc', 90)"
residence & lot/3701 porter st nw/dc,"('resurgence properties inc', 56)","('ride inc', 75)","('premier resources ltd co', 55)","('svt inc', 77)","('porter (h.k.) inc', 60)","('cliffs-st clair corp', 86)"
chase jpmorgan/checking,"('jpmorgan chase & co', 62)","('jpmorgan chase & co', 72)","('jpmorgan chase & co', 80)","('jpmorgan chase & co', 76)","('jpmorgan chase & co', 90)","('jpmorgan chase & co', 86)"
"rte 3a/hebron, nh","('fertil-a-chron inc', 63)","('fertil-a-chron inc', 67)","('andersons inc (the)', 61)","('ero inc', 71)","('andersons inc (the)', 61)","('rte corp', 86)"
amash imports,"('her imports', 75)","('her imports', 82)","('her imports', 75)","('her imports', 82)","('her imports', 78)","('buckingham motor imports ltd', 86)"
"310 e capital street nw/washington, dc","('columbia first bank washington dc', 62)","('washington corp', 83)","('washington steel corp', 62)","('washington corp', 80)","('washington corp', 80)","('a & e plastik pak inc', 86)"
hillsborough county fl school bond,"('edinburg community hotel inc', 55)","('olga co', 71)","('high country bancorp inc', 55)","('brown co', 75)","('high country bancorp inc', 55)","('invesco bond fund', 86)"
micros systems,"('micros systems inc', 88)","('micros systems inc', 100)","('micros systems inc', 88)","('micros systems inc', 100)","('micros systems inc', 100)","('micros systems inc', 95)"
"baty st elmira, ny real estate","('proshares ultra real estate', 63)","('b.b. real estate invt', 76)","('real estate data inc', 69)","('real estate data inc', 75)","('b.b. real estate invt', 76)","('cmc real estate corp', 86)"
general maritime,"('gener8 maritime inc', 80)","('gener8 maritime inc', 88)","('gener8 maritime inc', 80)","('general time corp', 86)","('gener8 maritime inc', 80)","(""casey's general stores inc."", 86)"
energy xxi (bermuda) ltd,"('energy xxi ltd', 74)","('energy xxi ltd', 79)","('energy xxi ltd', 78)","('energy xxi ltd', 100)","('energy xxi ltd', 100)","('acro energy corp', 86)"
sngle fam mtg bond revenue,"('nestle sa, cham und vevey', 55)","('m&t bank corp', 62)","('bona film group ltd', 53)","('sm&a', 75)","('deutsche x-trackers municipal infrastructure revenue bond etf', 63)","('invesco bond fund', 86)"
sweden kingdom euro bond,"('united kingdom fund', 65)","('omex', 75)","('united kingdom fund', 60)","('ero inc', 71)","('united kingdom fund', 65)","('vaneck vectors emerging markets high yield bond etf', 86)"
merrill lynch cma consults,"('merrill lynch & co inc', 75)","('mwa co', 83)","('merrill lynch & co inc', 74)","('3m co', 80)","('merrill lynch & co inc', 79)","('spdr bofa merrill lynch emerging markets corporate bond etf', 86)"
amanew wale-wks,"('new west eyeworks inc', 56)","('vale sa', 71)","('wageworks inc', 57)","('wageworks inc', 64)","('wageworks inc', 57)","('vale sa', 64)"
life ins - mass mutual - 44,"('first mutual inc', 51)","('ifex inc', 75)","('massachusetts mutual life insurance co', 69)","('olie inc', 75)","('phoenix home life mutual ins', 79)","('life chemistry inc', 86)"
fidelity mid cap fund,"('fidelity advisor korea fund', 71)","('spa marketgrader mid cap 100 fund', 71)","('fidelity union bancorp', 70)","('first trust mid cap value alphadex fund', 76)","('fidelity advisor emerging asia fund', 76)","('adams diversified equity fund inc', 86)"
florida st brd regt univ sys impt rev dt,"('florida east coast industries inc.', 52)","('sys', 100)","('florida progress corp', 56)","('sys', 100)","('sys', 100)","('air florida system inc', 86)"
dodge & cox funds international stock fund,"('secunda international ltd', 66)","('sgi international', 88)","('stor furnishings international', 66)","('sgi international', 88)","('hmo international', 87)","('a i c international inc', 86)"
"allegheny county, pa hi bond","('allegheny energy inc.', 62)","('henry co', 88)","('allegheny valley bancorp inc.', 65)","('brown co', 75)","('allegheny valley bancorp inc.', 65)","('invesco bond fund', 86)"
